TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE
CORE,DIM_IDLS,PROGRAM_ID,TEXT
CORE,DIM_IDLS,IDL,VARIANT
CORE,DIM_IDLS,IDL_HASH,TEXT
CORE,DIM_IDLS,IS_VALID,BOOLEAN
CORE,DIM_IDLS,SUBMITTED_BY,TEXT
CORE,DIM_IDLS,DATE_SUBMITTED,TIMESTAMP_NTZ
CORE,DIM_IDLS,FIRST_BLOCK_ID,NUMBER
CORE,DIM_IDLS,EARLIEST_DECODED_BLOCK,NUMBER
CORE,DIM_IDLS,BACKFILL_STATUS,TEXT
CORE,DIM_IDLS,DIM_IDLS_ID,TEXT
CORE,DIM_IDLS,INSERTED_TIMESTAMP,TIMESTAMP_NTZ
CORE,DIM_IDLS,MODIFIED_TIMESTAMP,TIMESTAMP_NTZ
CORE,DIM_LABELS,BLOCKCHAIN,TEXT
CORE,DIM_LABELS,CREATOR,TEXT
CORE,DIM_LABELS,ADDRESS,TEXT
CORE,DIM_LABELS,LABEL_TYPE,TEXT
CORE,DIM_LABELS,LABEL_SUBTYPE,TEXT
CORE,DIM_LABELS,LABEL,TEXT
CORE,DIM_LABELS,ADDRESS_NAME,TEXT
CORE,DIM_LABELS,DIM_LABELS_ID,TEXT
CORE,DIM_LABELS,INSERTED_TIMESTAMP,TIMESTAMP_NTZ
CORE,DIM_LABELS,MODIFIED_TIMESTAMP,TIMESTAMP_NTZ
CORE,EZ_EVENTS_DECODED,BLOCK_TIMESTAMP,TIMESTAMP_NTZ
CORE,EZ_EVENTS_DECODED,BLOCK_ID,NUMBER
CORE,EZ_EVENTS_DECODED,TX_ID,TEXT
CORE,EZ_EVENTS_DECODED,SIGNERS,ARRAY
CORE,EZ_EVENTS_DECODED,SUCCEEDED,BOOLEAN
CORE,EZ_EVENTS_DECODED,INDEX,NUMBER
CORE,EZ_EVENTS_DECODED,INNER_INDEX,NUMBER
CORE,EZ_EVENTS_DECODED,EVENT_TYPE,TEXT
CORE,EZ_EVENTS_DECODED,PROGRAM_ID,TEXT
CORE,EZ_EVENTS_DECODED,DECODED_INSTRUCTION,VARIANT
CORE,EZ_EVENTS_DECODED,DECODED_ACCOUNTS,ARRAY
CORE,EZ_EVENTS_DECODED,DECODED_ARGS,VARIANT
CORE,EZ_EVENTS_DECODED,DECODING_ERROR,TEXT
CORE,EZ_EVENTS_DECODED,EZ_EVENTS_DECODED_ID,TEXT
CORE,EZ_EVENTS_DECODED,INSERTED_TIMESTAMP,TIMESTAMP_NTZ
CORE,EZ_EVENTS_DECODED,MODIFIED_TIMESTAMP,TIMESTAMP_NTZ
CORE,EZ_SIGNERS,SIGNER,TEXT
CORE,EZ_SIGNERS,FIRST_TX_DATE,DATE
CORE,EZ_SIGNERS,FIRST_PROGRAM_ID,TEXT
CORE,EZ_SIGNERS,LAST_TX_DATE,DATE
CORE,EZ_SIGNERS,LAST_PROGRAM_ID,TEXT
CORE,EZ_SIGNERS,NUM_DAYS_ACTIVE,NUMBER
CORE,EZ_SIGNERS,NUM_TXS,NUMBER
CORE,EZ_SIGNERS,TOTAL_FEES,NUMBER
CORE,EZ_SIGNERS,PROGRAMS_USED,ARRAY
CORE,EZ_SIGNERS,EZ_SIGNERS_ID,TEXT
CORE,EZ_SIGNERS,INSERTED_TIMESTAMP,TIMESTAMP_NTZ
CORE,EZ_SIGNERS,MODIFIED_TIMESTAMP,TIMESTAMP_NTZ
CORE,FACT_BLOCKS,BLOCK_ID,NUMBER
CORE,FACT_BLOCKS,BLOCK_TIMESTAMP,TIMESTAMP_NTZ
CORE,FACT_BLOCKS,NETWORK,TEXT
CORE,FACT_BLOCKS,CHAIN_ID,TEXT
CORE,FACT_BLOCKS,BLOCK_HEIGHT,VARIANT
CORE,FACT_BLOCKS,BLOCK_HASH,TEXT
CORE,FACT_BLOCKS,PREVIOUS_BLOCK_ID,VARIANT
CORE,FACT_BLOCKS,PREVIOUS_BLOCK_HASH,TEXT
CORE,FACT_BLOCKS,FACT_BLOCKS_ID,TEXT
CORE,FACT_BLOCKS,INSERTED_TIMESTAMP,TIMESTAMP_NTZ
CORE,FACT_BLOCKS,MODIFIED_TIMESTAMP,TIMESTAMP_NTZ
CORE,FACT_DECODED_INSTRUCTIONS,BLOCK_TIMESTAMP,TIMESTAMP_NTZ
CORE,FACT_DECODED_INSTRUCTIONS,BLOCK_ID,NUMBER
CORE,FACT_DECODED_INSTRUCTIONS,TX_ID,TEXT
CORE,FACT_DECODED_INSTRUCTIONS,SIGNERS,ARRAY
CORE,FACT_DECODED_INSTRUCTIONS,INDEX,NUMBER
CORE,FACT_DECODED_INSTRUCTIONS,INNER_INDEX,NUMBER
CORE,FACT_DECODED_INSTRUCTIONS,PROGRAM_ID,TEXT
CORE,FACT_DECODED_INSTRUCTIONS,EVENT_TYPE,TEXT
CORE,FACT_DECODED_INSTRUCTIONS,DECODED_INSTRUCTION,VARIANT
CORE,FACT_DECODED_INSTRUCTIONS,FACT_DECODED_INSTRUCTIONS_ID,TEXT
CORE,FACT_DECODED_INSTRUCTIONS,INSERTED_TIMESTAMP,TIMESTAMP_NTZ
CORE,FACT_DECODED_INSTRUCTIONS,MODIFIED_TIMESTAMP,TIMESTAMP_NTZ
CORE,FACT_EVENTS,BLOCK_TIMESTAMP,TIMESTAMP_NTZ
CORE,FACT_EVENTS,BLOCK_ID,NUMBER
CORE,FACT_EVENTS,TX_ID,TEXT
CORE,FACT_EVENTS,SIGNERS,ARRAY
CORE,FACT_EVENTS,SUCCEEDED,BOOLEAN
CORE,FACT_EVENTS,INDEX,NUMBER
CORE,FACT_EVENTS,EVENT_TYPE,TEXT
CORE,FACT_EVENTS,PROGRAM_ID,TEXT
CORE,FACT_EVENTS,INSTRUCTION,VARIANT
CORE,FACT_EVENTS,INNER_INSTRUCTION,VARIANT
CORE,FACT_EVENTS,FACT_EVENTS_ID,TEXT
